"filename", "language", "Jupyter (JSON)", "Python", "HTML", "comment", "blank", "total"
"/Users/andrevacha/Desktop/cs166/Bus_Sim/Report.html", "HTML", 0, 0, 13090, 2, 1869, 14961
"/Users/andrevacha/Desktop/cs166/Bus_Sim/Report.ipynb", "Jupyter (JSON)", 551, 0, 0, 0, 0, 551
"/Users/andrevacha/Desktop/cs166/Bus_Sim/Report_backup.ipynb", "Jupyter (JSON)", 605, 0, 0, 0, 0, 605
"/Users/andrevacha/Desktop/cs166/Bus_Sim/bus_sim.py", "Python", 0, 208, 0, 27, 89, 324
"/Users/andrevacha/Desktop/cs166/Bus_Sim/entities.py", "Python", 0, 84, 0, 18, 40, 142
"/Users/andrevacha/Desktop/cs166/Bus_Sim/schedule.py", "Python", 0, 33, 0, 1, 12, 46
"/Users/andrevacha/Desktop/cs166/Bus_Sim/utils.py", "Python", 0, 6, 0, 0, 4, 10
"/Users/andrevacha/Desktop/cs166/Final Project/JurajRep.ipynb", "Jupyter (JSON)", 648, 0, 0, 0, 1, 649
"/Users/andrevacha/Desktop/cs166/Final Project/scratchpad.ipynb", "Jupyter (JSON)", 1081, 0, 0, 0, 1, 1082
"/Users/andrevacha/Desktop/cs166/Final Project/src/CA.py", "Python", 0, 120, 0, 43, 60, 223
"/Users/andrevacha/Desktop/cs166/Final Project/src/plotting_utils.py", "Python", 0, 170, 0, 36, 68, 274
"/Users/andrevacha/Desktop/cs166/Final Project/testing.ipynb", "Jupyter (JSON)", 266, 0, 0, 0, 1, 267
"/Users/andrevacha/Desktop/cs166/PCW/Dynamics_on_nets.ipynb", "Jupyter (JSON)", 96, 0, 0, 0, 1, 97
"/Users/andrevacha/Desktop/cs166/PCW/MCMC.ipynb", "Jupyter (JSON)", 115, 0, 0, 0, 1, 116
"/Users/andrevacha/Desktop/cs166/PCW/Mean Fields.ipynb", "Jupyter (JSON)", 203, 0, 0, 0, 0, 203
"/Users/andrevacha/Desktop/cs166/PCW/MetropolisHastings.ipynb", "Jupyter (JSON)", 99, 0, 0, 0, 1, 100
"/Users/andrevacha/Desktop/cs166/PCW/PCW 6.2.ipynb", "Jupyter (JSON)", 262, 0, 0, 0, 1, 263
"/Users/andrevacha/Desktop/cs166/PCW/PCW 7.1.ipynb", "Jupyter (JSON)", 41947, 0, 0, 0, 1, 41948
"/Users/andrevacha/Desktop/cs166/PCW/Sayama_Droplet.ipynb", "Jupyter (JSON)", 151, 0, 0, 0, 0, 151
"/Users/andrevacha/Desktop/cs166/PCW/Testing.ipynb", "Jupyter (JSON)", 1413, 0, 0, 0, 0, 1413
"/Users/andrevacha/Desktop/cs166/PCW/arrival-and-departure-rates.ipynb", "Jupyter (JSON)", 170, 0, 0, 0, 1, 171
"/Users/andrevacha/Desktop/cs166/PCW/majority-rule-mfa-and-simulation-comparison.ipynb", "Jupyter (JSON)", 227, 0, 0, 0, 1, 228
"/Users/andrevacha/Desktop/cs166/PCW/openai.ipynb", "Jupyter (JSON)", 161, 0, 0, 0, 1, 162
"/Users/andrevacha/Desktop/cs166/PCW/pcw3.2.ipynb", "Jupyter (JSON)", 314, 0, 0, 0, 0, 314
"/Users/andrevacha/Desktop/cs166/PCW/pcw5.2.ipynb", "Jupyter (JSON)", 186, 0, 0, 0, 0, 186
"/Users/andrevacha/Desktop/cs166/PCW/pycxsimulator.py", "Python", 0, 196, 0, 31, 49, 276
"/Users/andrevacha/Desktop/cs166/PCW/traffic-simulation-examples.ipynb", "Jupyter (JSON)", 656, 0, 0, 0, 1, 657
"/Users/andrevacha/Desktop/cs166/Problem Set 2/Problem Set 3.ipynb", "Jupyter (JSON)", 1406, 0, 0, 0, 1, 1407
"/Users/andrevacha/Desktop/cs166/Problem Set 2/hist.ipynb", "Jupyter (JSON)", 189, 0, 0, 0, 1, 190
"/Users/andrevacha/Desktop/cs166/Problem_Set1/ProblemSet1.ipynb", "Jupyter (JSON)", 348, 0, 0, 0, 1, 349
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/Report/Traffic Simulation Report.ipynb", "Jupyter (JSON)", 165, 0, 0, 0, 1, 166
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/Report/graphsim.ipynb", "Jupyter (JSON)", 1004, 0, 0, 0, 1, 1005
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/Report/markov.py", "Python", 0, 91, 0, 7, 30, 128
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/drafts/basic_graph.ipynb", "Jupyter (JSON)", 631, 0, 0, 0, 1, 632
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/drafts/draft1.ipynb", "Jupyter (JSON)", 601, 0, 0, 0, 1, 602
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/drafts/grah_withgen_testsed.ipynb", "Jupyter (JSON)", 675, 0, 0, 0, 1, 676
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/drafts/graph_withgen.ipynb", "Jupyter (JSON)", 749, 0, 0, 0, 1, 750
"/Users/andrevacha/Desktop/cs166/Traffic_Sim/scratchpad.ipynb", "Jupyter (JSON)", 1064, 0, 0, 0, 1, 1065
"Total", "-", 55983, 908, 13090, 165, 2243, 72389